prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL011,Johnny's Pizza,,610.287.4771,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/johnny-s-pizza/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL011,hold,hold,,,,,
PHL012,McMenamin & Margiotti,"650 North Cannon Ave, Suite, Colmar, PA",(215) 967-5185,"Philadelphia, PA",legal,https://phl-2026-w33b.netlify.app/sites/mcmenamin-and-margiotti/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL012,ready,hold,,,,,
PHL013,New Pennsburg Diner,,Call Now: 215-679-2190,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/new-pennsburg-diner/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL013,hold,hold,,,,,
PHL014,"O'Donnell, Weiss & Mattei, P.C.",,610-323-2800,"Philadelphia, PA",legal,https://phl-2026-w33b.netlify.app/sites/o-donnell-weiss-and-mattei-p-c/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL014,hold,hold,,,,,
PHL015,Oaks Italian Deli & Pizzeria,"1570 Egypt Rd, Phoenixville, PA 19460",610-666-0280,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/oaks-italian-deli-and-pizzeria/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL015,ready,hold,,,,,
PHL016,Peking Gourmet,"799 State St, Pottstown, PA 19464",(610) 326-2332,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/peking-gourmet/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL016,ready,hold,,,,,
PHL017,Pipe Xpress Inc,"817 E Washington St, West Chester, PA, 19380",610-918-7120,"Philadelphia, PA",home-services,https://phl-2026-w33b.netlify.app/sites/pipe-xpress-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL017,ready,hold,,,,,
PHL018,Pro Nails,,,"Philadelphia, PA",spa-wellness,https://phl-2026-w33b.netlify.app/sites/pro-nails/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL018,hold,hold,,,,,
PHL019,Red Hill Greenhouses & Florist,"1006 Main St, Red Hill, PA, 18076",(215) 679-7847,"Philadelphia, PA",retail,https://phl-2026-w33b.netlify.app/sites/red-hill-greenhouses-and-florist/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL019,ready,hold,,,,,
PHL020,Sangillo Tire Center,"1114 MacDade Blvd Folsom, PA 19033",(610) 586-3340,"Philadelphia, PA",auto,https://phl-2026-w33b.netlify.app/sites/sangillo-tire-center/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL020,ready,hold,,,,,
PHL021,TM Prestige Home Cash Buyer,,2673324669,"Philadelphia, PA",legal,https://phl-2026-w33b.netlify.app/sites/tm-prestige-home-cash-buyer/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL021,hold,hold,,,,,
PHL022,Train and Nourish,1621 East Passyunk Ave. Philadelphia PA 19148 (267) 710-7744 G,(267) 710-7744,"Philadelphia, PA",spa-wellness,https://phl-2026-w33b.netlify.app/sites/train-and-nourish/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL022,ready,hold,,,,,
PHL023,Union Jack's Olde Congo Hotel,,610 754 0189,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/union-jack-s-olde-congo-hotel/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL023,hold,hold,,,,,
PHL024,Weathers Motors & Auto Sales,"1187 West Baltimore Pike, Media, PA, 19063",866-799-0712,"Philadelphia, PA",auto,https://phl-2026-w33b.netlify.app/sites/weathers-motors-and-auto-sales/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL024,ready,hold,,,,,
PHL025,WJA Landscaping,"138 Pennapacker Rd, Collegeville, PA, 19426",610-831-3819,"Philadelphia, PA",home-services,https://phl-2026-w33b.netlify.app/sites/wja-landscaping/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL025,ready,hold,,,,,
