prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL012,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck","1634 Spruce Street, Philadelphia, PA 19103",(215) 546-6636,"Philadelphia, PA",Legal,https://phl-2026-w34.netlify.app/sites/eisenberg-rothweiler/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL012,ready,hold,,,,,
PHL013,Fillman & Sons Floors & More,,,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/fillman-and-sons-floors/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL013,hold,hold,,,,,
PHL014,Glen Eagle Pediatric Dentistry,"589 Wilmington West Chester Pike, Glen Mills, PA 19342",(484) 639-9066,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/glen-eagle-pediatric-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL014,ready,hold,,,,,
PHL015,HaverCrown Dental,"100 S Eagle Rd, Havertown, PA 19083",(610) 446-6688,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/havercrown-dental/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL015,ready,hold,,,,,
PHL016,Jarman Sales & Service,"2041 Point Breeze Ave, Philadelphia, PA 19145",(215) 389-2345,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/jarman-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL016,ready,hold,,,,,
PHL017,Live Urgent Care,,,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/live-urgent-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL017,hold,hold,,,,,
PHL018,Malvern Vision Care,,,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/malvern-vision-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL018,hold,hold,,,,,
PHL019,McMenamin & Margiotti,"2307 N Broad St, Colmar, PA 18915",,"Philadelphia, PA",Legal,https://phl-2026-w34.netlify.app/sites/mcmenamin-margiotti/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL019,ready,hold,,,,,
PHL020,Pennsylvania Dental Group,"3700 Market Street, Suite 101, Philadelphia, PA 19104",(215) 387-0883,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/pennsylvania-dental-group/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL020,ready,hold,,,,,
PHL021,Plastic Surgery Solutions,,,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/plastic-surgery-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL021,hold,hold,,,,,
PHL022,Sciacca Service Center,,,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/sciacca-service-center/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL022,hold,hold,,,,,
PHL023,Train and Nourish,"1621 East Passyunk Ave, Philadelphia, PA 19148",(267) 710-7744,"Philadelphia, PA",Spas & Wellness,https://phl-2026-w34.netlify.app/sites/train-and-nourish/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL023,ready,hold,,,,,
PHL024,L A Verruni Landscaping,"1357 Farmington Avenue, Pottstown, PA 19464",,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/verruni-landscaping/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL024,ready,hold,,,,,
PHL025,Wynnewood Eyecare,,,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/wynnewood-eyecare/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL025,hold,hold,,,,,
