status,target,align_match,position,volume,kd,bucket,url,priority
missing,what is hcm software,,,1300,26,info,,P1
missing,healthcare payroll software,,,320,16,industry,,P1
missing,human capital management system,,,1600,45,info,,P1
missing,payroll software for healthcare,,,210,17,industry,,P1
missing,best construction payroll software,,,260,,industry,,P1
missing,manufacturing workforce management,,,170,13,industry,,P1
missing,hospitality payroll system,,,170,16,industry,,P1
missing,hcm meaning in hr,,,590,,info,,P1
missing,payroll for construction companies,,,210,,industry,,P1
missing,ukg pro support,,,320,37,platform_services,,P1
missing,accenture dayforce partner,,,140,7,platform_services,,P1
missing,ukg managed services,,,140,20,platform_services,,P1
missing,ukg training videos,,,170,25,platform_services,,P1
missing,manufacturing workforce management software,,,140,13,industry,,P1
missing,hcm managed services,,,170,21,hcm_services,,P1
missing,best payroll software for healthcare,,,110,20,industry,,P1
missing,payroll for education,,,110,19,industry,,P1
missing,what does hcm stand for,,,590,44,info,,P1
missing,ukg pro implementation services,,,90,13,platform_services,,P1
missing,healthcare payroll services,,,90,11,industry,,P2
missing,dayforce consulting services,,,70,9,platform_services,,P2
missing,top-rated dayforce hcm consulting firms for mid-sized companies,,,70,10,platform_services,,P2
missing,healthcare industry payroll,,,70,6,industry,,P2
missing,hospitality payroll systems,,,70,10,industry,,P2
missing,manufacturing workforce solutions,,,70,8,industry,,P2
missing,payroll for healthcare,,,70,12,industry,,P2
missing,payroll system for hospitality,,,70,6,industry,,P2
missing,union payroll software,,,70,3,industry,,P2
missing,workforce management software for manufacturing,,,70,19,industry,,P2
missing,government payroll software,,,90,21,industry,,P2
missing,hr and payroll systems for education,,,90,23,industry,,P2
missing,education payroll software,,,90,26,industry,,P2
missing,dayforce partner certification requirements,,,50,4,platform_services,,P2
missing,hr and payroll system hospitality,,,50,10,industry,,P2
missing,hr and payroll software healthcare,,,40,14,industry,,P2
missing,hr payroll system hospitality,,,40,15,industry,,P2
missing,workforce management for manufacturing,,,40,4,industry,,P2
missing,hcm post go-live support checklist,,,40,0,hcm_services,,P2
missing,best dayforce consulting partners for full hr payroll implementation,,,30,0,platform_services,,P2
missing,best dayforce consulting services,,,30,0,platform_services,,P2
missing,dayforce certified consultant,,,30,0,platform_services,,P2
missing,dayforce implementation guide,,,30,0,platform_services,,P2
missing,ukg dimension implementation,,,30,0,platform_services,,P2
missing,exclusive hcm implementation partner,,,30,0,hcm_services,,P2
missing,hcm implementation service,,,30,0,hcm_services,,P3
missing,workforce management implementation,,,30,0,hcm_services,,P3
missing,what are hcm managed services,,,30,19,hcm_services,,P3
missing,ukg dimensions implementation,,,30,,platform_services,,P3
missing,best dayforce consultants for multi-state payroll,,,20,0,platform_services,,P3
missing,best ukg consulting partner for messy dimensions implementation,,,20,0,platform_services,,P3
missing,dayforce consulting services post go-live support comparison,,,20,0,platform_services,,P3
missing,dayforce consulting services post go-live support hands-on,,,20,0,platform_services,,P3
missing,dayforce managed services,,,20,0,platform_services,,P3
missing,hcm support services,,,20,0,hcm_services,,P3
missing,best dayforce implementation partners mid-market,,,20,,platform_services,,P3
missing,dayforce hr managed services,,,20,,platform_services,,P3
missing,dayforce vs ukg,,,20,0,compare,,P3
missing,ukg vs dayforce,,,20,0,compare,,P3
missing,hcm cloud erp post go live support,,,20,,hcm_services,,P3
missing,hcm implementation services,,,20,,hcm_services,,P3
missing,best ukg consulting partners for fixing messy dimensions implementation,,,10,,platform_services,,P3
missing,dayforce managed services customer reviews or experiences or case studies,,,10,,platform_services,,P3
missing,find hr solution implementation partner for ukg,,,10,,platform_services,,P3
missing,public sector hcm,,,10,,industry,,P3
missing,dayforce vs adp vs ukg payroll comparison,,,10,0,compare,,P3
missing,implement new workforce management system,,,10,,hcm_services,,P3
missing,workforce management vendors that provide implementation and training services,,,10,,hcm_services,,P3
missing,best dayforce consulting firms for integrations with workday and netsuite,,,10,,compare,,P3
missing,dayforce vs competitors like workday ukg adp for hr directors,,,0,0,compare,,P3
missing,dayforce vs competitors payroll adp ukg workday,,,0,0,compare,,P3
missing,dayforce vs ukg dimensions,,,0,0,compare,,P3
missing,dayforce vs ukg vs adp workforce management comparison,,,0,0,compare,,P3
missing,ukg pro vs ceridian dayforce time and attendance,,,0,0,compare,,P3
